scope,method_a,method_b,mean_auroc_diff_a_minus_b,wilcoxon_statistic,p_value_two_sided,n_pairs
accelerated_battery_degradation,Isolation Forest,LOF,-0.2183079628656805,0.0,0.001953125,10
accelerated_battery_degradation,Isolation Forest,LSTM Autoencoder,0.1970329488745534,0.0,0.001953125,10
accelerated_battery_degradation,Isolation Forest,One-Class SVM,-0.2155735235729004,0.0,0.001953125,10
accelerated_battery_degradation,LOF,LSTM Autoencoder,0.415340911740234,0.0,0.001953125,10
accelerated_battery_degradation,LOF,One-Class SVM,0.0027344392927801,1.0,0.00390625,10
accelerated_battery_degradation,LSTM Autoencoder,One-Class SVM,-0.4126064724474538,0.0,0.001953125,10
all_faults,Isolation Forest,LOF,-0.1411778448224499,0.0,0.001953125,10
all_faults,Isolation Forest,LSTM Autoencoder,-0.0039708913490181,25.0,0.845703125,10
all_faults,Isolation Forest,One-Class SVM,-0.137918375706347,0.0,0.001953125,10
all_faults,LOF,LSTM Autoencoder,0.1372069534734317,0.0,0.001953125,10
all_faults,LOF,One-Class SVM,0.0032594691161029,5.0,0.01953125,10
all_faults,LSTM Autoencoder,One-Class SVM,-0.1339474843573288,0.0,0.001953125,10
gps_jitter_spoofing,Isolation Forest,LOF,-0.2033114554773087,0.0,0.001953125,10
gps_jitter_spoofing,Isolation Forest,LSTM Autoencoder,-0.1042307007904499,1.0,0.00390625,10
gps_jitter_spoofing,Isolation Forest,One-Class SVM,-0.1939076747285893,0.0,0.001953125,10
gps_jitter_spoofing,LOF,LSTM Autoencoder,0.0990807546868588,0.0,0.001953125,10
gps_jitter_spoofing,LOF,One-Class SVM,0.0094037807487194,12.0,0.130859375,10
gps_jitter_spoofing,LSTM Autoencoder,One-Class SVM,-0.0896769739381393,0.0,0.001953125,10
gradual_sensor_drift,Isolation Forest,LOF,-0.1253964595452656,0.0,0.001953125,10
gradual_sensor_drift,Isolation Forest,LSTM Autoencoder,-0.111142970447515,0.0,0.001953125,10
gradual_sensor_drift,Isolation Forest,One-Class SVM,-0.1241731107695699,0.0,0.001953125,10
gradual_sensor_drift,LOF,LSTM Autoencoder,0.0142534890977505,1.0,0.00390625,10
gradual_sensor_drift,LOF,One-Class SVM,0.0012233487756956,9.0,0.064453125,10
gradual_sensor_drift,LSTM Autoencoder,One-Class SVM,-0.0130301403220548,0.0,0.001953125,10
intermittent_software_hang,Isolation Forest,LOF,-0.1262349189816566,0.0,0.001953125,10
intermittent_software_hang,Isolation Forest,LSTM Autoencoder,-0.0201161331703861,16.0,0.275390625,10
intermittent_software_hang,Isolation Forest,One-Class SVM,-0.1262892303192747,0.0,0.001953125,10
intermittent_software_hang,LOF,LSTM Autoencoder,0.1061187858112704,0.0,0.001953125,10
intermittent_software_hang,LOF,One-Class SVM,-5.431133761809592e-05,17.0,0.322265625,10
intermittent_software_hang,LSTM Autoencoder,One-Class SVM,-0.1061730971488885,0.0,0.001953125,10
motor_stall,Isolation Forest,LOF,-0.0332438613344555,0.0,0.001953125,10
motor_stall,Isolation Forest,LSTM Autoencoder,-0.0215330262827843,5.0,0.01953125,10
motor_stall,Isolation Forest,One-Class SVM,-0.0318427636693382,0.0,0.001953125,10
motor_stall,LOF,LSTM Autoencoder,0.0117108350516711,0.0,0.001953125,10
motor_stall,LOF,One-Class SVM,0.0014010976651172,0.0,0.001953125,10
motor_stall,LSTM Autoencoder,One-Class SVM,-0.0103097373865538,0.0,0.001953125,10
