timesteps,mean_reward,std_reward,median_reward,min_reward,max_reward,mean_episode_length,wallclock_sec,environment_steps_per_sec,n_eval_episodes,environment,algorithm,seed,profile
20000,-42.0169465,4.804599993788584,-39.5276835,-55.230811,-39.322995,1600.0,6.9208965839934535,2889.798996022524,10,BipedalWalker-v3,PPO,17,standard
40000,-50.072664,2.619849616885328,-49.5249395,-54.703415,-45.043801,1600.0,13.683853584021564,2923.153171319183,10,BipedalWalker-v3,PPO,17,standard
60000,114.75813639999998,6.127244597316648,115.6702405,106.916484,122.687157,1600.0,20.462273084005574,2932.2255525413384,10,BipedalWalker-v3,PPO,17,standard
80000,103.3394141,6.641822430155451,103.457067,93.684447,118.872086,1600.0,27.1809784170182,2943.2347420544456,10,BipedalWalker-v3,PPO,17,standard
100000,127.5802048,4.511382773707429,129.101935,119.580809,133.528385,1600.0,33.69367750000674,2967.915864926884,10,BipedalWalker-v3,PPO,17,standard
120000,138.23910389999998,47.97361491419143,153.83741500000002,-5.208536,159.087808,1559.8,40.38237037500949,2971.593764447806,10,BipedalWalker-v3,PPO,17,standard
140000,103.6250315,117.05893919221012,181.537533,-79.902106,212.670326,1192.1,46.62305937500787,3002.8059478878067,10,BipedalWalker-v3,PPO,17,standard
160000,111.5699262,119.7314178973632,197.6852315,-83.00077,216.601541,1202.5,52.85335991700413,3027.243684247297,10,BipedalWalker-v3,PPO,17,standard
180000,131.22348190000002,98.3709468642804,189.3618835,-61.645936,202.092618,1357.2,59.05240658399998,3048.139955887425,10,BipedalWalker-v3,PPO,17,standard
200000,-65.7956568,49.51371250853719,-85.0585005,-96.572813,79.179894,313.8,64.29435054201167,3110.6932150953853,10,BipedalWalker-v3,PPO,17,standard
220000,-92.2388684,1.7711167716242306,-92.9382145,-93.767989,-87.494703,127.0,69.36800945899449,3171.4907450248893,10,BipedalWalker-v3,PPO,17,standard
240000,-76.59191910000001,14.17093678143392,-70.625387,-101.845499,-55.810948,231.0,74.51106295900536,3220.9982044148755,10,BipedalWalker-v3,PPO,17,standard
260000,93.5004855,150.48633132955254,204.6162355,-94.131107,223.550134,1019.6,80.31352420902112,3237.3128008096523,10,BipedalWalker-v3,PPO,17,standard
280000,201.2559998,84.76496571237938,230.0521885,-52.203639,238.523448,1478.5,86.85853349999525,3223.632597941748,10,BipedalWalker-v3,PPO,17,standard
300000,229.09784,5.775625108426481,229.0275925,218.460571,240.088619,1600.0,93.51118529200905,3208.172359950146,10,BipedalWalker-v3,PPO,17,standard
301056,218.0881805,36.95738680384737,232.5548385,110.647296,242.696633,1595.3,95.67177270899992,3146.7588764734933,10,BipedalWalker-v3,PPO,17,standard
20000,-40.9431982,5.809813370531342,-43.2134565,-46.375254,-28.95999,1600.0,6.484910333005246,3084.082735609942,10,BipedalWalker-v3,PPO,27,standard
40000,90.0584088,2.175139147523568,89.7535825,86.594329,93.958803,1600.0,13.12012966698967,3048.7503565334614,10,BipedalWalker-v3,PPO,27,standard
60000,-106.2217856,5.240391940203561,-106.4596335,-113.791179,-98.634458,199.8,18.15200870801345,3305.41930455951,10,BipedalWalker-v3,PPO,27,standard
80000,126.26135920000002,4.705732965436199,127.329277,116.475954,132.548259,1600.0,24.74916458298685,3232.432340564492,10,BipedalWalker-v3,PPO,27,standard
100000,122.4916569,84.15887964606064,174.6697715,-4.611376,203.277795,1379.2,30.890964749996783,3237.192519214228,10,BipedalWalker-v3,PPO,27,standard
120000,-72.04536590000001,17.860829216691663,-75.044973,-89.641642,-22.994054,218.5,35.947284666995984,3338.221540559772,10,BipedalWalker-v3,PPO,27,standard
140000,16.695651700000003,88.83512777272948,-29.3162735,-79.478349,221.625868,781.3,41.63617666700157,3362.460514078756,10,BipedalWalker-v3,PPO,27,standard
160000,11.759801799999996,107.02112154919804,-9.3419335,-96.342427,261.183612,709.4,47.24783320800634,3386.398679821096,10,BipedalWalker-v3,PPO,27,standard
180000,-56.1910456,30.840015195267963,-53.386911,-109.23308,-0.954665,352.5,52.24089566699695,3445.576453118022,10,BipedalWalker-v3,PPO,27,standard
200000,-9.547325299999995,78.08218690608925,-40.714485,-83.247672,178.193626,556.9,57.711712041986175,3465.5010728930874,10,BipedalWalker-v3,PPO,27,standard
220000,99.8399097,128.49241387346265,63.866608,-47.644979,289.671698,842.9,63.588341624999885,3459.7536966352736,10,BipedalWalker-v3,PPO,27,standard
240000,59.59236109999999,133.87631145622436,32.0391115,-83.16812,284.394483,748.9,69.30740874999901,3462.8332573464368,10,BipedalWalker-v3,PPO,27,standard
260000,52.870047,77.28152132361872,45.8834695,-62.615672,177.320413,707.5,74.73896304200753,3478.774516230113,10,BipedalWalker-v3,PPO,27,standard
280000,91.16932540000002,111.76322181269346,63.133901,-22.200193,296.202083,781.6,80.4770038750139,3479.254774877784,10,BipedalWalker-v3,PPO,27,standard
300000,218.9148263,121.94892760041036,292.9382385,-50.985972,296.795638,986.8,86.41194520800491,3471.742237463357,10,BipedalWalker-v3,PPO,27,standard
301056,201.3442334,119.6054926866089,287.9562385,-18.543645,297.492023,1004.9,87.91880708301323,3424.250282601559,10,BipedalWalker-v3,PPO,27,standard
20000,-106.9530526,18.010458597739976,-112.62246,-114.61316,-53.146447,225.7,5.009925833990565,3992.075065125139,10,BipedalWalker-v3,PPO,37,standard
40000,-58.2764948,9.181836541277782,-59.127118,-70.634282,-41.639025,1600.0,11.626790624985006,3440.3302932146494,10,BipedalWalker-v3,PPO,37,standard
60000,44.3119789,36.8837772693261,42.8913365,-12.539979,87.258697,1600.0,18.240952541993465,3289.3019079936103,10,BipedalWalker-v3,PPO,37,standard
80000,91.1801364,6.675253363911216,90.2885775,81.274764,104.171932,1600.0,24.793179166998016,3226.6939008163704,10,BipedalWalker-v3,PPO,37,standard
100000,46.262676,143.5153050353274,8.585099,-94.938703,216.394002,875.4,30.346331499982625,3295.2912282019083,10,BipedalWalker-v3,PPO,37,standard
120000,-27.9769012,51.848947608125485,-42.1455545,-88.400382,80.831377,534.6,35.75558624998666,3356.11893372451,10,BipedalWalker-v3,PPO,37,standard
140000,-59.85499699999999,17.822805168758165,-62.6948335,-85.141631,-30.900353,284.8,40.876335666980594,3424.964535485266,10,BipedalWalker-v3,PPO,37,standard
160000,248.4507582,3.151379290921637,248.0364665,243.255989,254.232335,1600.0,47.477487875003135,3370.0182373010493,10,BipedalWalker-v3,PPO,37,standard
180000,164.99042699999998,111.01451841627416,185.5941735,-46.470425,279.066498,1329.9,53.5439133750042,3361.7266399513687,10,BipedalWalker-v3,PPO,37,standard
200000,44.0981876,105.95040675349291,41.4569835,-83.951643,281.096411,795.0,59.22663408398512,3376.859129228821,10,BipedalWalker-v3,PPO,37,standard
220000,-38.4845336,68.85385642791667,-69.58525850000001,-97.029451,115.640125,378.1,64.49833704199409,3410.940655055349,10,BipedalWalker-v3,PPO,37,standard
240000,37.765989700000006,90.77321937089658,7.833263499999999,-34.385575,278.745196,711.9,70.0884693749831,3424.24370428132,10,BipedalWalker-v3,PPO,37,standard
260000,192.293111,145.0926558474132,286.1212,-79.342268,287.46875,1128.7,75.93328887500684,3424.0581943972406,10,BipedalWalker-v3,PPO,37,standard
280000,203.8091314,111.950898525159,287.827879,15.061119,291.255798,1187.0,82.05771741698845,3412.232375135888,10,BipedalWalker-v3,PPO,37,standard
300000,285.9719648,2.6623076083320263,286.422384,280.93107,289.798557,1406.4,88.42166012499365,3392.8338325238105,10,BipedalWalker-v3,PPO,37,standard
301056,249.7069581,91.97402772781396,281.8758915,-25.80304,284.473206,1373.4,90.32056554200244,3333.1943638018706,10,BipedalWalker-v3,PPO,37,standard
20000,-117.03485500000002,16.86478767658469,-122.18087,-124.736509,-66.56635,267.6,5.107701125001768,3915.655891082131,10,BipedalWalker-v3,PPO,47,standard
40000,-38.48890539999999,0.5730373964987276,-38.459059,-39.202614,-37.588404,1600.0,11.765558749990303,3399.753539119675,10,BipedalWalker-v3,PPO,47,standard
60000,122.1764168,6.279524913741719,122.4988685,109.925648,132.748854,1600.0,18.425454290991183,3256.364757819621,10,BipedalWalker-v3,PPO,47,standard
80000,117.9931444,49.57367386064574,142.0735095,9.851441,151.303422,1549.7,24.997333957988303,3200.3412897732123,10,BipedalWalker-v3,PPO,47,standard
100000,79.4915081,88.14482066596459,83.58964350000001,-42.197508,177.152831,1352.1,31.132313165988307,3212.0966876707653,10,BipedalWalker-v3,PPO,47,standard
120000,38.8640364,120.3265087829962,-31.721798,-79.997487,217.495293,916.9,37.018836790986825,3241.5929403059213,10,BipedalWalker-v3,PPO,47,standard
140000,172.5439061,97.68701772392704,220.4338265,-77.473178,226.31585,1441.7,43.47599779098528,3220.167612323987,10,BipedalWalker-v3,PPO,47,standard
160000,-7.464093200000001,70.25585399676393,-35.28304,-75.743733,186.85729,744.8,49.16139166598441,3254.5864666948937,10,BipedalWalker-v3,PPO,47,standard
