profile,training_seed,policy,mean_agent_return_mean,mean_agent_return_std,team_return_sum_mean,team_return_sum_std,mean_assignment_distance_mean,mean_assignment_distance_std,final_assignment_distance_mean,final_assignment_distance_std,coordination_success_mean,coordination_success_std,collision_pairs_per_cycle_mean,collision_pairs_per_cycle_std,duplicate_nearest_landmarks_per_cycle_mean,duplicate_nearest_landmarks_per_cycle_std,nearest_landmark_switch_rate_mean,nearest_landmark_switch_rate_std
standard,7,ppo,-19.00913017689428,3.1283185656145687,-57.02739053068284,9.384955696843706,0.6905849483875144,0.1052842721230959,0.6808657611163419,0.1730705159848951,0.0,0.0,0.06,0.0711805216802087,1.012,0.288474917068673,0.0213333333333333,0.0156505038770302
standard,7,random,-20.6197985202439,4.634044650854079,-61.8593955607317,13.902133952562238,0.8274275120000828,0.1915835283810199,0.8764434210708476,0.3013285425800934,0.0,0.0,0.052,0.0681175454637056,0.912,0.1776888666555486,0.0173333333333333,0.0154600241163787
standard,17,ppo,-19.7535138457315,4.78799552561802,-59.26054153719451,14.363986576854058,0.650188631113299,0.2004942041837681,0.6356846434011925,0.240338247811097,0.0,0.0,0.028,0.0500666222813828,0.828,0.3368085509603341,0.0213333333333333,0.0179986282056147
standard,17,random,-24.56774631563166,5.261107671170237,-73.70323894689497,15.783323013510708,0.8780302144019927,0.243121256456065,0.8906976143551939,0.2693334513961428,0.0,0.0,0.06,0.0659966329107444,1.0,0.3388870673903689,0.0186666666666666,0.0143329026636418
standard,27,ppo,-20.14071250404931,5.625326871948968,-60.422137512147934,16.875980615846906,0.6250833989281166,0.1658582919701631,0.6092983540628296,0.1717430194164944,0.0,0.0,0.1,0.0869226987360353,0.732,0.3882954201807347,0.0333333333333333,0.0210818510677891
standard,27,random,-23.42883404229785,8.087091470960825,-70.28650212689357,24.26127441288247,0.8300255973796562,0.2216705802634867,0.8893748767782729,0.2624840807621881,0.0,0.0,0.032,0.0454116969758037,0.94,0.4856153027059817,0.0226666666666666,0.0208936164862989
standard,37,ppo,-29.53479190577973,12.825305112989854,-88.60437571733921,38.47591533896957,0.8865699886486738,0.3493474650416419,1.0434458635522603,0.681806812386738,0.0,0.0,0.06,0.0632455532033675,0.752,0.3403527581789223,0.0213333333333333,0.0143329026636418
standard,37,random,-28.878177030644288,9.986167861570816,-86.63453109193287,29.958503584712453,0.92412352723441,0.2746434522570238,1.0626975464116637,0.3370881007836521,0.0,0.0,0.064,0.0804432166879912,0.82,0.2334285520001546,0.0373333333333333,0.0313010077540604
standard,47,ppo,-17.35046050172602,5.7025271293581214,-52.05138150517805,17.107581388074365,0.5501134949074628,0.1561186232869519,0.4409311265530916,0.1367769874532302,0.0,0.0,0.12,0.1192569587999887,0.6679999999999999,0.4225004930963592,0.0333333333333333,0.0144016459964619
standard,47,random,-21.141374413108387,5.245173410457415,-63.42412323932516,15.735520231372243,0.8281474845655333,0.2197112517947063,0.8753914272018543,0.2433215854269338,0.0,0.0,0.02,0.0507718207057593,0.94,0.6014057606050086,0.0226666666666666,0.0281442492426445
