feature,auroc_mean,auroc_std,clean_error_mean,fault_error_mean,fault_to_clean_error_ratio_mean
battery_voltage_soc_residual,0.7832723784115947,0.10337398227657794,1.7101624,1.9744129,1.6211069
battery_soc_interunit_z,0.6436160878835702,0.12020521268634163,1.0133976,1.4329205,1.4153682
battery_voltage_v__mean,0.6186343729617233,0.14355902091654354,0.9457043,1.3572217,1.6958809
motor_current_interunit_z,0.6026652289470775,0.22689627528237377,0.99370515,1.346771,1.3746027
imu_gyro_norm_rps,0.5982080450869904,0.08152497909487996,3.9893327,1.2735199,0.3530714
speed_mps__mean,0.5705144388192629,0.14605596083431974,1.3542044,1.4762001,1.1205252
battery_soc_pct__mean,0.5451998017484925,0.11562769920139991,0.9737256,1.1264113,1.2038728
motor_current_mean_a,0.5451106503516552,0.20182628405776615,1.3240055,1.6487134,1.2980722
speed_current_efficiency,0.5097802035647727,0.14573668158938663,1.3586136,1.1823994,0.9135326
imu_accel_norm_mps2,0.4651541384533525,0.1381231491570111,18.42526,0.89102876,0.058775842
wifi_rssi_interunit_z,0.46121113420632653,0.13292007115876484,1.0219215,0.9077228,0.89169043
motor_side_imbalance_ratio,0.4553811673736773,0.08987244393361796,19.771606,0.9939624,0.055717092
gps_wifi_consistency_score,0.4513822570431555,0.12085614943786852,1.0263351,0.89756364,0.8759327
motor_temp_c__mean,0.4471393239427483,0.16773387521735936,1.1387231,0.97444105,0.86388046
wifi_rssi_dbm__mean,0.4457102783072302,0.11199765633563075,1.0221369,0.8753246,0.85985535
gps_fix_quality__mean,0.44310637386470814,0.11834313071777909,1.063504,0.97036046,0.9198362
gps_hdop__mean,0.4359154518719344,0.12154473758020945,1.1997491,0.99941283,0.8563445
